sepal.length,sepal.width,petal.length,petal.width,variety
5.1,3.5,1.4,0.2,Setosa
4.9,3,1.4,0.2,Setosa
5,3.4,1.5,0.2,Setosa
5.4,3.4,1.7,0.2,Setosa
5,3.2,1.2,0.2,Setosa
5,3.5,1.6,0.6,Setosa
5,3.3,1.4,0.2,Setosa
6.9,3.1,4.9,1.5,Versicolor
6.1,3,4.6,1.4,Versicolor
6.7,3.1,4.7,1.5,Versicolor
6,2.9,4.5,1.5,Versicolor
6.7,3.1,4.4,1.4,Versicolor
6.2,2.9,4.3,1.3,Versicolor
5,2,3.5,1,Versicolor
6.1,2.6,5.6,1.4,Virginica
6.3,2.9,5.6,1.8,Virginica
6,3,4.8,1.8,Virginica
5.8,2.8,5.1,2.4,Virginica
5.6,2.8,4.9,2,Virginica
7.2,3.2,6,1.8,Virginica
7.4,2.8,6.1,1.9,Virginica
